genre,counts
Documentary,82
Comedy,1316
Horror,227
Western,11
Fantasy,53
Adventure,453
Sci-Fi,12
Thriller,21
Drama,961
Mystery,33
Action,1150
Crime,344
Biography,252
Family,11
Animation,61
